session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Computer operating system,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
60885eda2e50992800b1baa9,5c9a4c48e9b10e001670eca7,APPROVED,2021-04-27 18:58:49.498000,2021-04-27 19:14:35.181000,945.683,22,131,0,100,2021-04-28 12:05:31.978000,72B34593,Windows 10 (Unsure of the edition),United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,Yes
60885ef4d98ca0c363e57d24,5f244c4d691ad10127d51e93,APPROVED,2021-04-27 18:59:35.937000,2021-04-27 19:22:22.504000,1366.567,19,3,0,100,2021-04-28 12:05:36.447000,72B34593,Windows 10 (Unsure of the edition),Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Portugal,Male,Yes
60885ef7154a0b2bc3d450d8,5e28e045fce1f40a73809269,TIMED-OUT,2021-04-27 18:59:03.739000,,502117.017563,23,147,2,99,,,Windows 10 Pro Edition,Mexico,Mexico,Part-Time,Spanish,"Spanish, English",Mexico,Male,Yes
60885f197eeb94cce9fb9d98,5d6af27ac45e6800191d22e4,APPROVED,2021-04-27 18:59:36.855000,2021-04-27 19:21:51.319000,1334.464,23,117,3,96,2021-04-28 12:05:48.549000,72B34593,Windows 10 Home Edition,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English",Portugal,Male,Yes
60885f19ae493a9fec0d236c,5b844ad1449ef20001149e8b,APPROVED,2021-04-27 18:59:37.899000,2021-04-27 19:14:58.081000,920.182,32,379,6,97,2021-04-28 12:05:53.481000,72B34593,Windows 10 Home Edition,Poland,Poland,Full-Time,Polish,"English, German, Polish",Poland,Male,No
60885f339fda2d36add66677,5ec5a06f8838ba5e5c971fe8,APPROVED,2021-04-27 19:00:05.722000,2021-04-27 19:13:33.474000,807.752,20,67,1,98,2021-04-28 12:06:14.376000,72B34593,Windows (Other versions),Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,Yes
60885f4c503b3e18eac3d90c,5bfed7a3b919cd00015e717d,APPROVED,2021-04-27 19:01:30.540000,2021-04-27 19:14:11.431000,760.891,24,210,1,100,2021-04-28 12:06:23.327000,72B34593,Windows 10 Pro Edition,Poland,Poland,Part-Time,Polish,"English, Polish",Poland,Male,Yes
60885f544d218f75a96c149a,5db0588f2fbdc6001a2be11f,APPROVED,2021-04-27 19:00:36.444000,2021-04-27 19:23:34.623000,1378.179,23,195,0,100,2021-04-28 12:06:29.388000,72B34593,Windows 10 Home Edition,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English, Spanish",Portugal,Female,Yes
60885f64d98ca0c363e57d2c,5f37da6aaf40ed27d922a113,APPROVED,2021-04-27 19:01:37.487000,2021-04-27 19:14:16.077000,758.59,20,39,1,99,2021-04-28 12:06:35.528000,72B34593,Windows 10 (Unsure of the edition),Italy,Italy,Unemployed (and job seeking),DATA EXPIRED,"English, Italian",Italy,Female,Yes
60885f6623caa4ccbe79bb38,60479459dd0290016d41bda5,APPROVED,2021-04-27 19:00:54.740000,2021-04-27 19:17:20.579000,985.839,20,12,0,100,2021-04-28 12:06:41.230000,72B34593,Windows 10 Home Edition,Poland,Poland,Unemployed (and job seeking),,"Polish, English",Poland,Male,Yes
