,id,Browser,n1,n2,n3,n4,e1,e2,e3,e4,a1,a2,a3,a4,1,c1,c2,c3,c4,i1,i2,2,i3,i4,age,sex,country
0,2e0faf838e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",4,3,1,2,0,3,1,3,1,2,2,2,0,2,3,3,1,1,3,4,2,1,20,Male,Poland
0,4373467fa8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",0,3,2,3,3,3,2,2,0,0,4,4,0,4,0,0,3,0,3,4,3,2,45,Female,South Africa
0,210f65fa22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,2,1,3,1,0,2,2,1,4,1,3,0,2,0,1,3,1,3,4,4,3,30,Male,Spain
0,04903325d9,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",0,1,4,3,2,1,3,2,1,3,3,3,0,2,0,0,3,2,3,4,3,1,61,Male,United Kingdom
0,4c19484b9a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36 OPR/73.0.3856.438",2,4,2,1,3,2,3,3,1,3,3,3,0,2,3,1,3,2,1,4,2,1,19,Male,Italy
0,d17fbd9377,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,2,3,3,2,4,0,4,0,1,2,2,2,0,1,1,1,2,3,1,4,2,1,23,Male,United Kingdom
0,375b7fe701,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",2,3,2,3,4,2,3,0,1,1,3,2,0,1,0,0,4,0,3,4,2,3,29,Male,Poland
0,214cc851f5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36",1,2,3,3,3,1,3,1,3,3,1,1,0,2,1,1,3,1,2,4,3,1,26,Male,United Kingdom
0,af1b78db61,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46",1,0,0,3,4,3,1,4,3,0,4,4,0,3,4,1,3,1,4,4,3,4,30,Male,
0,dce2d96ea1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",1,1,4,3,0,2,0,3,1,0,4,2,0,3,0,0,2,0,4,4,4,0,18,Female,Poland
